"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","information-level","trust","credibility","opinions","government-intervention","government-control-of-economy","free-trade","protectionism","pro-choice","tax-increase-to-offset-debt-and-deficit","crime-punishment-level","military-hawkishness","non-military-interventions","affirmative-action","prayer-in-schools","market-solution-to-healthcare","moralistic-law"
"136","100","174","-46.64375047446573","-24.108407794701378","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","100","350","-5.793987799301867","45.69328608809691","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","100","125","28.59275758741468","31.835097242790624","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","100","268","-17.927843936302352","38.221320755356885","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","100","313","-40.451780295353586","4.234360863468055","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","100","4","31.797601695384074","-50.15667226753533","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","100","157","8.611252078574438","44.458067425822534","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","100","344","-62.54116590185931","-15.081542808802183","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","100","117","-60.43829597729237","-8.619810862211068","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","100","197","-16.343507217417027","26.531140548758074","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","100","232","-31.165241816621986","-63.543781899505376","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
